Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T00:52:48.635,6,-0.004871265,0.13334655531361495,FoVP,-0.034993624,0.7123101999560072,2458065.5336018223
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T02:39:22.764,7,-0.003852788,0.12796929748333138,FoVF,-0.030956609,0.7115798256502227,2458065.607602746
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T06:53:02.670,4,-0.001298114,0.1151945855334301,FoVP,-0.021400908,0.7097445234927632,2458065.7837467236
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T08:39:36.866,5,-1.71E-04,0.10983843281179485,FoVF,-0.017409435,0.7089331714607439,2458065.8577484475
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T12:53:16.939,2,0.002640525587550996,0.09711594667777342,FoVP,-0.007965159,0.7069071517858944,2458066.0338944155
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-08T14:39:51.208,2,0.003874485362194899,0.0917825356641932,FoVF,-0.004021714,0.7060165532597527,2458066.1078970106
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-02-08T16:21:06.005,2,0.004133710786191426,-2.852827567,FoVF,-0.273617577,0.6985835600031718,2458158.1785462103
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-02-08T20:34:46.037,5,-0.003418025,-2.863581472,FoVP,-0.266460312,0.7035293721769523,2458158.35471737
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-02-23T04:27:37.125,7,-0.003761198,2.4330691430114877,FoVF,0.5465021635780271,0.7065295132374123,2458172.6842838735
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-03-29T08:08:46.268,5,-0.00298754,-2.358018672,FoVP,-0.698856684,0.7114558770806375,2458206.841204112
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-08-15T02:57:52.705,5,-0.002723946,-0.524562667,FoVP,0.346802894104993,0.7207207738394966,2458345.6282027615
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-08-15T04:44:26.930,4,5.223004512790507E-4,-0.520453114,FoVF,0.3442991980777126,0.7227804220331354,2458345.7022042265
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-09-02T16:49:54.034,2,0.004043349169941799,0.6721851152898157,FoVF,-0.622275088,0.7219682853155125,2458364.2043900876
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2018-09-02T21:03:34.079,7,-0.006113527,0.6795790897325797,FoVP,-0.628062567,0.718306779778275,2458364.38053153
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-02-17T09:39:00.801,4,-3.19E-04,-2.625692905,FoVP,-0.461210582,0.7057890079040057,2458531.9000037625
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-02-17T11:25:34.981,7,-0.004557464,-2.629201966,FoVF,-0.459002473,0.7080741287974833,2458531.9740167647
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-03-10T09:38:14.321,3,-3.85E-05,2.3530076239801994,FoVP,0.6817535570796608,0.7096047741802992,2458552.9014166687
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-03-10T11:24:48.545,2,0.00515891824756047,2.351373648693077,FoVF,0.6831970739808941,0.7086033473423675,2458552.9754311945
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-04-08T21:18:36.618,1,0.0033645694254701365,-2.385744644,FoVP,-0.644396071,0.7169027013547681,2458582.3907112484
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-04-08T23:05:10.821,6,-0.001586972,-2.38369714,FoVF,-0.645523451,0.7153874835820595,2458582.4647252904
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-08-22T08:11:57.445,7,-0.005919017,0.5326828860862891,FoVP,-0.483433345,0.717062602031119,2458717.845745777
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-08-22T09:58:31.611,6,-0.00180488,0.5294201213558414,FoVF,-0.481339075,0.7192537272514837,2458717.9197460525
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-09-13T14:54:48.244,3,0.0011372682384798872,-0.790176359,FoVP,0.6927701550110736,0.7166632672525239,2458740.123437246
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-09-13T16:41:22.447,7,-0.003967082,-0.791626319,FoVF,0.6940404941373314,0.7157275885246651,2458740.1974369544
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2019-10-13T05:55:45.550,1,0.006472373518987609,0.7567722127731128,FoVF,-0.636200334,0.7080015393873739,2458769.7461875775
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-02-21T03:24:02.155,3,0.003346031193659049,2.4527985653458,FoVF,0.5199310844342596,0.7078680452871039,2458900.6399139506
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-03-16T04:15:20.796,7,-0.003861237,-2.373475409,FoVF,-0.707490798,0.7139223263372756,2458924.677843547
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2020-04-12T05:19:21.499,5,1.1880940557124767E-4,2.466082034753617,FoVF,0.6130818451840577,0.7187317559639533,2458951.724954899
